# np run time
1 1 0.0362519
1 2 0.0369715
1 3 0.0362634
1 4 0.0363605
1 5 0.0366116
4 1 0.0342553
4 2 0.0292641
4 3 0.0400868
4 4 0.0430796
4 5 0.043617
9 1 0.0244693
9 2 0.0217673
9 3 0.0233172
9 4 0.0232653
9 5 0.0241772
16 1 0.0274791
16 2 0.0256211
16 3 0.025876
16 4 0.0288906
16 5 0.0285926
25 1 0.0344768
25 2 0.0328587
25 3 0.0325203
25 4 0.0387008
25 5 0.0353873
36 1 0.0169972
36 2 0.0177967
36 3 0.0183277
36 4 0.017696
36 5 0.0195041
49 1 0.029739
49 2 0.0296216
49 3 0.0292614
49 4 0.028698
49 5 0.0296499
