# np run time max_difference
1 1 0.455946 1.96498e-12
1 2 0.455573 1.96498e-12
1 3 0.454107 1.96498e-12
1 4 0.454883 1.96498e-12
1 5 0.454756 1.96498e-12
2 1 0.62357 1.96498e-12
2 2 0.599643 1.96498e-12
2 3 0.598872 1.96498e-12
2 4 0.623118 1.96498e-12
2 5 0.603757 1.96498e-12
4 1 0.869494 1.96498e-12
4 2 0.917686 1.96498e-12
4 3 0.873865 1.96498e-12
4 4 0.875898 1.96498e-12
4 5 0.914745 1.96498e-12
8 1 1.21726 1.96498e-12
8 2 1.2369 1.96498e-12
8 3 1.22852 1.96498e-12
8 4 1.18428 1.96498e-12
8 5 1.25349 1.96498e-12
16 1 1.20695 1.96498e-12
16 2 1.1935 1.96498e-12
16 3 1.19936 1.96498e-12
16 4 1.17488 1.96498e-12
16 5 1.23869 1.96498e-12
32 1 1.21626 1.96498e-12
32 2 1.15851 1.96498e-12
32 3 1.12482 1.96498e-12
32 4 1.15845 1.96498e-12
32 5 1.14155 1.96498e-12
64 1 1.16013 1.96498e-12
64 2 1.00273 1.96498e-12
64 3 0.975844 1.96498e-12
64 4 1.0429 1.96498e-12
64 5 1.02129 1.96498e-12
